epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,455.354,1.02149,1.36104,1.20055,0.86553,0.5745,0.73016,0.50592,1.12016,1.03513,1.09341,0.0011882,0.0011882,0.0011882
43,466.65,1.00088,1.20439,1.13903,0.79128,0.58166,0.71352,0.48277,1.15774,1.08747,1.09719,0.0011684,0.0011684,0.0011684
44,477.853,1.03531,1.33908,1.16178,0.80421,0.60318,0.78346,0.54401,1.11815,0.9738,1.07207,0.0011486,0.0011486,0.0011486
45,488.414,1.01992,1.37646,1.15085,0.78501,0.56759,0.70031,0.47376,1.15439,1.12415,1.09885,0.0011288,0.0011288,0.0011288
46,498.836,0.9626,1.19156,1.09713,0.8467,0.60172,0.78642,0.54469,1.12898,0.96466,1.09343,0.001109,0.001109,0.001109
47,509.948,0.99006,1.28495,1.14085,0.832,0.61374,0.71684,0.49758,1.14079,1.1387,1.10035,0.0010892,0.0010892,0.0010892
48,521.12,1.00875,1.25329,1.1596,0.86041,0.59167,0.74506,0.5065,1.17757,1.12347,1.10135,0.0010694,0.0010694,0.0010694
49,531.805,0.95728,1.16626,1.10531,0.84028,0.60458,0.72068,0.49364,1.1589,1.16505,1.10595,0.0010496,0.0010496,0.0010496
50,542.297,0.97782,1.22061,1.13073,0.82474,0.59097,0.71592,0.49327,1.14532,1.13403,1.10472,0.0010298,0.0010298,0.0010298
51,553.048,0.95062,1.19577,1.11724,0.84953,0.59856,0.78228,0.54452,1.1307,1.00047,1.08408,0.00101,0.00101,0.00101
52,564.348,0.92636,1.1345,1.07229,0.82748,0.59957,0.73141,0.4995,1.15843,1.04651,1.10278,0.0009902,0.0009902,0.0009902
53,574.357,0.94815,1.06737,1.07211,0.85571,0.59901,0.71904,0.49609,1.1718,1.07986,1.11036,0.0009704,0.0009704,0.0009704
54,584.976,0.92193,1.08311,1.08706,0.87737,0.58309,0.73257,0.51142,1.12185,1.07423,1.07703,0.0009506,0.0009506,0.0009506
55,596.361,0.95741,1.16281,1.10201,0.82979,0.58596,0.67977,0.4664,1.16725,1.17381,1.09919,0.0009308,0.0009308,0.0009308
56,607.493,0.92214,1.08535,1.08014,0.80394,0.57378,0.70092,0.46682,1.19923,1.05888,1.10754,0.000911,0.000911,0.000911
57,617.924,0.91752,1.15525,1.11028,0.81374,0.61533,0.71648,0.50094,1.12793,1.10021,1.08255,0.0008912,0.0008912,0.0008912
58,629.127,0.91607,1.0224,1.10737,0.84421,0.60817,0.7421,0.50719,1.17786,1.11575,1.10657,0.0008714,0.0008714,0.0008714
59,640.243,0.91817,0.98797,1.09684,0.82106,0.66394,0.80114,0.56131,1.11756,0.92659,1.08096,0.0008516,0.0008516,0.0008516
60,651.514,0.92095,1.15734,1.09441,0.76356,0.6712,0.76156,0.53135,1.12168,1.01932,1.08872,0.0008318,0.0008318,0.0008318
61,662.667,0.91494,1.12944,1.11389,0.87332,0.58095,0.67457,0.46795,1.16502,1.27898,1.11131,0.000812,0.000812,0.000812
62,672.681,0.88959,1.00811,1.07453,0.85645,0.6096,0.74725,0.52526,1.10503,1.07003,1.07914,0.0007922,0.0007922,0.0007922
63,684.007,0.89982,1.08273,1.08817,0.85243,0.60825,0.76111,0.53187,1.11765,1.0228,1.0823,0.0007724,0.0007724,0.0007724
64,695.028,0.91775,1.11996,1.13848,0.86066,0.58381,0.66877,0.47089,1.12855,1.35801,1.09441,0.0007526,0.0007526,0.0007526
65,705.401,0.91637,1.03817,1.10438,0.85618,0.59885,0.69454,0.48325,1.12242,1.26916,1.0946,0.0007328,0.0007328,0.0007328
66,715.327,0.90011,1.11533,1.12305,0.85034,0.61052,0.69765,0.48564,1.13412,1.24864,1.09698,0.000713,0.000713,0.000713
67,726.493,0.8937,1.15327,1.12077,0.83595,0.60817,0.69761,0.47018,1.17757,1.21569,1.10975,0.0006932,0.0006932,0.0006932
68,737.732,0.89176,1.00823,1.09736,0.8371,0.6404,0.78331,0.55366,1.0821,1.02739,1.0632,0.0006734,0.0006734,0.0006734
69,748.164,0.92981,1.11955,1.11484,0.82072,0.64275,0.77647,0.54119,1.11574,1.0457,1.06866,0.0006536,0.0006536,0.0006536
