epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,214.422,0.85329,0.6665,0.98193,0.83791,0.62106,0.72602,0.50211,1.1979,1.02625,1.14395,0.0011882,0.0011882,0.0011882
43,218.901,0.8624,0.67467,0.99234,0.81889,0.66905,0.75165,0.52705,1.14797,0.96011,1.11519,0.0011684,0.0011684,0.0011684
44,223.285,0.82751,0.67018,0.98555,0.83871,0.78226,0.86319,0.60607,1.12056,0.76034,1.08714,0.0011486,0.0011486,0.0011486
45,228.896,0.85211,0.63695,0.99438,0.82602,0.70774,0.80641,0.56676,1.13059,0.8856,1.10067,0.0011288,0.0011288,0.0011288
46,233.364,0.81483,0.64691,0.978,0.83559,0.70272,0.81122,0.57127,1.11903,0.88514,1.09509,0.001109,0.001109,0.001109
47,237.648,0.85495,0.63048,0.99055,0.84183,0.65616,0.75788,0.52493,1.14851,0.99393,1.11796,0.0010892,0.0010892,0.0010892
48,243.476,0.85391,0.67042,0.99888,0.82417,0.66691,0.7421,0.51944,1.16363,1.00698,1.12444,0.0010694,0.0010694,0.0010694
49,248.213,0.83293,0.64661,0.99181,0.85796,0.7106,0.79756,0.56179,1.131,0.87796,1.09761,0.0010496,0.0010496,0.0010496
50,252.588,0.81987,0.64506,0.97367,0.84295,0.70057,0.79052,0.55468,1.13121,0.90347,1.09297,0.0010298,0.0010298,0.0010298
51,258.185,0.81993,0.62394,0.96873,0.86298,0.58954,0.68982,0.47949,1.1829,1.12792,1.13489,0.00101,0.00101,0.00101
52,262.692,0.80447,0.64165,0.97389,0.79697,0.64255,0.70651,0.49545,1.16807,1.09988,1.12398,0.0009902,0.0009902,0.0009902
53,266.894,0.78411,0.59174,0.96316,0.87336,0.78725,0.88157,0.63139,1.07154,0.73051,1.05437,0.0009704,0.0009704,0.0009704
54,275.204,0.81768,0.61196,0.9572,0.87648,0.86461,0.93288,0.67582,1.07107,0.64345,1.05277,0.0009506,0.0009506,0.0009506
55,279.659,0.81579,0.6345,0.97173,0.83454,0.81652,0.87525,0.6233,1.09695,0.75791,1.07196,0.0009308,0.0009308,0.0009308
56,285.099,0.7987,0.65505,0.97732,0.79538,0.63539,0.71438,0.50106,1.18881,1.05876,1.14265,0.000911,0.000911,0.000911
57,289.786,0.83582,0.72476,0.98071,0.78916,0.72928,0.80447,0.56853,1.1017,0.87079,1.08147,0.0008912,0.0008912,0.0008912
58,294.132,0.82166,0.62859,0.98804,0.87635,0.79711,0.89191,0.63727,1.07381,0.69409,1.05704,0.0008714,0.0008714,0.0008714
59,299.38,0.79023,0.59491,0.96642,0.82995,0.81662,0.87934,0.62654,1.08621,0.72219,1.0614,0.0008516,0.0008516,0.0008516
60,304.124,0.79227,0.59996,0.96519,0.84631,0.66905,0.79367,0.56689,1.10388,0.88569,1.08614,0.0008318,0.0008318,0.0008318
61,308.675,0.77627,0.56697,0.96377,0.78058,0.68696,0.77843,0.55216,1.11913,0.92199,1.09566,0.000812,0.000812,0.000812
62,314.023,0.79375,0.56278,0.95593,0.82886,0.68348,0.79148,0.55757,1.11312,0.88628,1.08725,0.0007922,0.0007922,0.0007922
63,318.886,0.79261,0.57693,0.97625,0.84625,0.72938,0.82502,0.58846,1.09518,0.81851,1.07567,0.0007724,0.0007724,0.0007724
64,323.236,0.74643,0.56767,0.95413,0.89492,0.76361,0.86664,0.62489,1.08434,0.7486,1.06758,0.0007526,0.0007526,0.0007526
65,328.55,0.76202,0.54992,0.94274,0.86595,0.78665,0.87054,0.62386,1.08471,0.74468,1.06607,0.0007328,0.0007328,0.0007328
66,333.332,0.78665,0.56337,0.96758,0.8059,0.73496,0.81636,0.5721,1.1203,0.85516,1.0853,0.000713,0.000713,0.000713
67,337.792,0.7666,0.56689,0.95883,0.82776,0.63395,0.74428,0.51933,1.15652,1.01721,1.11678,0.0006932,0.0006932,0.0006932
68,343.338,0.79111,0.56246,0.95452,0.83783,0.64183,0.73935,0.52095,1.15693,1.02124,1.12539,0.0006734,0.0006734,0.0006734
69,348.118,0.78497,0.57901,0.96455,0.82782,0.66814,0.758,0.53491,1.14132,0.97723,1.11107,0.0006536,0.0006536,0.0006536
70,352.477,0.75778,0.56541,0.96052,0.83773,0.73711,0.82324,0.58307,1.11739,0.85389,1.08479,0.0006338,0.0006338,0.0006338
71,357.694,0.76807,0.54504,0.94807,0.8572,0.78152,0.86253,0.61671,1.0888,0.76947,1.06595,0.000614,0.000614,0.000614
72,362.599,0.75783,0.54586,0.96876,0.87391,0.76791,0.86092,0.6163,1.08112,0.76993,1.06214,0.0005942,0.0005942,0.0005942
73,366.811,0.7864,0.56776,0.96145,0.85658,0.73161,0.83162,0.59414,1.09237,0.83684,1.07085,0.0005744,0.0005744,0.0005744
74,371.9,0.7486,0.55206,0.94698,0.83284,0.70989,0.80406,0.56817,1.10453,0.87651,1.07832,0.0005546,0.0005546,0.0005546
75,377.196,0.76416,0.53567,0.95517,0.81705,0.71661,0.80167,0.56009,1.11764,0.87093,1.08267,0.0005348,0.0005348,0.0005348
76,381.43,0.77967,0.57617,0.98394,0.81785,0.76226,0.82502,0.5891,1.08024,0.82965,1.0629,0.000515,0.000515,0.000515
77,386.036,0.717,0.5351,0.94076,0.82623,0.7425,0.8215,0.58466,1.08943,0.84469,1.06922,0.0004952,0.0004952,0.0004952
78,391.182,0.74395,0.54969,0.9428,0.85526,0.71108,0.8178,0.58019,1.09831,0.8655,1.07453,0.0004754,0.0004754,0.0004754
79,395.523,0.75699,0.55873,0.95196,0.8338,0.72779,0.81068,0.56879,1.11976,0.8758,1.08595,0.0004556,0.0004556,0.0004556
80,400.342,0.73398,0.53438,0.95571,0.83437,0.69198,0.78578,0.55643,1.10096,0.91965,1.08223,0.0004358,0.0004358,0.0004358
81,405.809,0.73307,0.54756,0.94529,0.82644,0.67908,0.76907,0.54721,1.10029,0.94948,1.08235,0.000416,0.000416,0.000416
