epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,141.607,0.77375,0.48255,0.90263,0.8433,0.9317,0.93043,0.6292,1.12288,0.63808,1.03569,0.0011882,0.0011882,0.0011882
43,144.03,0.74093,0.49652,0.89555,0.84367,0.92956,0.92761,0.62641,1.13308,0.64071,1.03894,0.0011684,0.0011684,0.0011684
44,147.346,0.7627,0.4713,0.892,0.84001,0.92743,0.92491,0.6265,1.12266,0.64569,1.03597,0.0011486,0.0011486,0.0011486
45,150.316,0.75788,0.48539,0.89634,0.83413,0.9285,0.92198,0.62097,1.13998,0.65521,1.04607,0.0011288,0.0011288,0.0011288
46,152.736,0.78936,0.49011,0.90716,0.84931,0.9285,0.92778,0.62097,1.15708,0.66384,1.05396,0.001109,0.001109,0.001109
47,155.188,0.76816,0.48278,0.8993,0.86346,0.91113,0.92854,0.61398,1.19633,0.67201,1.07705,0.0010892,0.0010892,0.0010892
48,157.618,0.78567,0.46874,0.90681,0.87073,0.90576,0.92901,0.62215,1.16453,0.6557,1.06322,0.0010694,0.0010694,0.0010694
49,160.766,0.75575,0.46478,0.89622,0.89081,0.89682,0.9278,0.62815,1.14074,0.64033,1.04945,0.0010496,0.0010496,0.0010496
50,163.863,0.7404,0.47864,0.89047,0.88493,0.89328,0.92759,0.62369,1.14715,0.63904,1.05408,0.0010298,0.0010298,0.0010298
51,166.284,0.72014,0.45298,0.87018,0.88523,0.89724,0.93024,0.63208,1.12561,0.63081,1.04274,0.00101,0.00101,0.00101
52,168.711,0.71297,0.45689,0.88563,0.88572,0.89861,0.93643,0.63549,1.12151,0.62334,1.03847,0.0009902,0.0009902,0.0009902
53,171.153,0.73524,0.45892,0.87854,0.88557,0.91142,0.93631,0.63948,1.10807,0.62535,1.03338,0.0009704,0.0009704,0.0009704
54,173.945,0.68792,0.43192,0.8743,0.89337,0.89418,0.93719,0.63423,1.1227,0.63449,1.0386,0.0009506,0.0009506,0.0009506
55,177.177,0.73054,0.45811,0.87324,0.88716,0.90502,0.93861,0.63356,1.13595,0.63273,1.04415,0.0009308,0.0009308,0.0009308
56,179.612,0.73416,0.45649,0.86777,0.89971,0.89044,0.9383,0.64246,1.12435,0.62875,1.04108,0.000911,0.000911,0.000911
57,182.117,0.6806,0.4346,0.87573,0.8984,0.8965,0.93967,0.64482,1.11816,0.62291,1.03837,0.0008912,0.0008912,0.0008912
58,184.506,0.67654,0.43468,0.86964,0.8844,0.90627,0.93753,0.64098,1.12033,0.61396,1.03796,0.0008714,0.0008714,0.0008714
59,186.951,0.68947,0.42816,0.86634,0.88495,0.90822,0.93642,0.63365,1.13217,0.61063,1.0444,0.0008516,0.0008516,0.0008516
